Date,Open,High,Low,Close,Adj Close,Volume
2022-06-21,371.890015,376.529999,371.809998,375.070007,371.828156,76811900
2022-06-22,370.619995,378.720001,370.179993,374.390015,371.154022,90059400
2022-06-23,376.640015,378.829987,372.890015,378.059998,374.792297,79292100
2022-06-24,381.399994,390.089996,381.369995,390.079987,386.708405,98050300
2022-06-27,391.049988,391.359985,387.440002,388.589996,385.231293,66009600
2022-06-28,390.230011,393.160004,380.529999,380.649994,377.359894,86548900
2022-06-29,381.230011,382.269989,378.420013,380.339996,377.052612,65676000
2022-06-30,376.239990,380.660004,372.559998,377.250000,373.989288,112508300
2022-07-01,376.559998,381.700012,373.799988,381.239990,377.944794,74839700
2022-07-05,375.880005,381.980011,372.899994,381.959991,378.658569,81438000
2022-07-06,382.109985,385.869995,379.600006,383.250000,379.937439,70426200
2022-07-07,385.119995,389.829987,383.269989,388.989990,385.627808,64525900
2022-07-08,387.269989,390.640015,385.660004,388.670013,385.310608,72397800
2022-07-11,385.850006,386.869995,383.500000,384.230011,380.908966,58366900
2022-07-12,383.649994,386.160004,378.989990,380.829987,377.538330,62219200
2022-07-13,375.100006,381.920013,374.660004,378.829987,375.555634,84224600
2022-07-14,373.609985,379.049988,371.040009,377.910004,374.643585,89704800
2022-07-15,382.549988,385.250000,380.540009,385.130005,381.801208,79060400
2022-07-18,388.380005,389.089996,380.660004,381.950012,378.648682,63203600
2022-07-19,386.079987,392.869995,385.390015,392.269989,388.879456,78506000
2022-07-20,392.470001,396.260010,391.029999,394.769989,391.357849,71843800
2022-07-21,394.160004,398.839996,391.630005,398.790009,395.343109,64903900
2022-07-22,398.920013,400.179993,392.750000,395.089996,391.675079,72197300
2022-07-25,395.750000,396.470001,393.209991,395.570007,392.150970,53631500
2022-07-26,393.839996,394.059998,389.950012,390.890015,387.511414,52946400
2022-07-27,394.359985,402.880005,394.049988,401.040009,397.573700,82342100
2022-07-28,401.890015,406.799988,398.149994,406.070007,402.560181,73966600
2022-07-29,407.579987,413.029999,406.769989,411.989990,408.429016,87003700
2022-08-01,409.149994,413.410004,408.399994,410.769989,407.219543,69997500
2022-08-02,409.119995,413.000000,406.820007,408.059998,404.533020,63435400
2022-08-03,410.299988,415.679993,410.000000,414.450012,410.867767,67820600
2022-08-04,414.369995,415.089996,412.440002,414.170013,410.590210,45656600
2022-08-05,409.660004,414.149994,409.600006,413.470001,409.896240,56814900
2022-08-08,415.250000,417.619995,411.829987,412.989990,409.420380,53886100
2022-08-09,412.220001,412.750000,410.220001,411.350006,407.794586,44931800
2022-08-10,418.779999,420.140015,416.720001,419.989990,416.359863,68665700
2022-08-11,422.989990,424.950012,419.209991,419.989990,416.359863,59489700
2022-08-12,422.029999,427.209991,421.029999,427.100006,423.408417,61694500
2022-08-15,424.769989,429.410004,424.709991,428.859985,425.153198,54048300
2022-08-16,427.730011,431.730011,426.880005,429.700012,425.985962,59289000
2022-08-17,425.910004,429.500000,424.540009,426.649994,422.962311,63563400
2022-08-18,426.859985,428.609985,425.500000,427.890015,424.191589,49023200
2022-08-19,424.980011,425.260010,421.220001,422.140015,418.491302,68016900
2022-08-22,417.049988,417.230011,412.399994,413.350006,409.777252,77695600
2022-08-23,412.899994,415.420013,411.769989,412.350006,408.785950,49105200
2022-08-24,412.109985,415.109985,411.390015,413.670013,410.094543,49177800
2022-08-25,415.239990,419.559998,414.089996,419.510010,415.884064,50942300
2022-08-26,419.390015,419.959991,405.250000,405.309998,401.806763,103087000
2022-08-29,402.200012,405.839996,401.200012,402.630005,399.149963,65370800
2022-08-30,403.850006,404.100006,396.000000,398.209991,394.768127,85652400
2022-08-31,399.929993,401.239990,395.040009,395.179993,391.764313,76029700
2022-09-01,392.890015,396.779999,390.040009,396.420013,392.993622,78740100
2022-09-02,400.279999,401.559998,390.329987,392.239990,388.849701,99632100
2022-09-06,393.130005,394.119995,388.420013,390.760010,387.382538,76637400
2022-09-07,390.429993,398.589996,390.200012,397.779999,394.341858,70964200
2022-09-08,395.390015,400.859985,394.119995,400.380005,396.919373,80821700
2022-09-09,402.739990,407.510010,402.459991,406.600006,403.085602,76706900
2022-09-12,408.779999,411.730011,408.459991,410.970001,407.417847,69256300
2022-09-13,401.829987,403.100006,391.920013,393.100006,389.702301,122947100
2022-09-14,394.470001,396.200012,391.119995,394.600006,391.189331,85023700
2022-09-15,392.959991,395.959991,388.779999,390.119995,386.748077,87633800
2022-09-16,384.140015,386.250000,382.109985,385.559998,383.797607,103084800
2022-09-19,382.260010,388.549988,382.179993,388.549988,386.773926,73278500
2022-09-20,385.059998,386.119995,381.200012,384.089996,382.334320,77274900
2022-09-21,386.109985,389.309998,377.380005,377.390015,375.664948,106746600
2022-09-22,376.579987,378.299988,373.440002,374.220001,372.509430,89472600
2022-09-23,370.579987,370.619995,363.290009,367.950012,366.268097,122346900
